Year,STATEN ISLAND,QUEENS,MANHATTAN,BROOKLYN,BRONX
2006,690,5859,4932,7665,3922
2007,816,5811,4079,7126,3884
2008,793,5237,4105,7029,3568
2009,636,4839,3791,6538,3637
2010,635,4868,3163,6681,3353
2011,726,4994,3228,6342,3570
2012,755,5307,3241,6843,3163
2013,693,4822,2930,6018,2955
2014,623,4372,2838,6121,2878
2015,559,3539,2737,5478,2654
