Year,STATEN ISLAND,QUEENS,MANHATTAN,BROOKLYN,BRONX
2006,41,398,286,446,349
2007,46,326,260,338,295
2008,64,303,274,351,263
2009,63,282,229,329,272
2010,63,262,333,405,288
2011,59,317,329,416,261
2012,44,322,318,402,286
2013,48,288,279,433,246
2014,39,243,248,381,293
2015,33,234,247,349,293
