year,variableA,variableB,variableC,variableD,variableE
2006,3374,28165,34543,39454,22348
2007,3469,26297,32379,36792,21617
2008,3413,25525,31179,36187,21070
2009,2938,23095,27933,32413,19639
2010,2947,23085,26922,32952,19732
2011,3066,23765,26194,34154,20014
2012,3420,24510,27528,35889,20442
2013,3413,24074,27559,35517,20703
2014,3222,22933,26034,34388,20253
2015,3172,21057,26035,31699,20683
