Year,STATEN ISLAND,QUEENS,MANHATTAN,BROOKLYN,BRONX
2006,1754,13844,20722,16830,8606
2007,1675,12514,19897,15434,8303
2008,1635,12256,19063,15115,8158
2009,1365,10757,16970,13320,7177
2010,1318,10485,16463,13233,6833
2011,1306,10582,15752,13471,7018
2012,1470,10746,16979,14535,7248
2013,1484,10926,17626,15217,7473
2014,1480,10977,16602,15134,7484
2015,1428,10014,16344,13710,7627
