Year,STATEN ISLAND,QUEENS,MANHATTAN,BROOKLYN,BRONX
2006,452,4950,5122,8244,4919
2007,462,4435,4678,7607,4596
2008,470,4618,4521,7927,4852
2009,397,3992,3765,6318,4122
2010,423,4087,3784,6667,4637
2011,399,4053,3652,7092,4582
2012,445,4142,3579,7263,4741
2013,519,3981,3332,6849,4441
2014,419,3271,2910,5959,4008
2015,456,3256,3135,5677,4362
