Year,STATEN ISLAND,QUEENS,MANHATTAN,BROOKLYN,BRONX
2006,419,3031,3380,6050,4407
2007,458,3141,3397,6080,4411
2008,429,3016,3155,5557,4101
2009,462,3145,3118,5715,4323
2010,490,3282,3116,5748,4496
2011,561,3740,3169,6649,4446
2012,696,3913,3354,6702,4891
2013,662,3999,3355,6876,5509
2014,645,4017,3402,6676,5500
2015,683,3956,3533,6353,5664
